 본부명 , 지사명 , 노선명 , 구간 , 방 향 , 5km , 발생건수 ,위도,경도
대전충남,영동,경부선, 260~265 ,부산,260,3,36.31774985,127.5564176
대전충남,대전,경부선, 270~275 ,부산,270,3,36.34962947,127.4663024
대전충남,대전,경부선, 285~290 ,부산,285,3,36.4657563,127.4183421
대전충남,대전,경부선, 295~300 ,부산,295,3,36.55093021,127.4318744
대전충남,천안,경부선, 305~310 ,서울,305,3,36.62535986,127.3836864
대전충남,천안,경부선, 350~355 ,서울,350,3,36.91220457,127.1890154
광주전남,남원,광주대구선, 35~40 ,광주,35,5,35.36635794,127.1897231
광주전남,남원,광주대구선, 90~95 ,광주,90,3,35.44407521,127.4358331
광주전남,남원,광주대구선, 60~65 ,대구,60,3,35.54331396,127.6965106
광주전남,순천,남해선, 5~10 ,순천,5,3,34.99031998,127.5283748
광주전남,순천,남해선, 5~10 ,부산,5,3,34.99031998,127.5283748
부산경남,창원,남해1지선, 0~5 ,함안,0,5,35.27140039,128.4744032
강원,강릉,동해선, 65~70 ,근덕,65,3,37.80291629,128.8238867
강원,강릉,동해선, 60~65 ,속초,60,3,37.75999135,128.8381564
광주전남,함평,무안광주선, 30~35 ,무안,30,3,35.0984857,126.6874541
광주전남,함평,서해안선, 25~30 ,목포,25,3,35.02076043,126.4892992
전북,부안,서해안선, 65~70 ,목포,65,4,35.35714229,126.5834406
전북,부안,서해안선, 120~125 ,목포,120,3,35.35714229,126.5834406
전북,부안,서해안선, 65~70 ,서울,65,3,35.79280976,126.8266521
전북,부안,서해안선, 140~145 ,서울,140,3,35.96858774,126.8361901
전북,보령,서해안선, 195~200 ,목포,195,3,36.34285171,126.5642234
서울경기,동서울,수도권제1순환선, 115~120 ,판교,115,4,37.37918528,126.9574134
강원,원주,영동선, 130~135 ,인천,130,3,37.40120957,127.9481384
강원,원주,영동선, 95~100 ,인천,95,3,37.25375183,127.659495
부산경남,창녕,중부내륙선, 30~35 ,창원,30,3,35.50159595,128.5068215
강원,홍천,중앙선, 315~320 ,춘천,315,7,37.08378052,128.1698621
충북/강원,제천/홍천,중앙선, 310~315 ,춘천,310,3,37.12122313,128.1495986
충북,제천,중앙선, 275~280 ,부산,275,3,37.20204554,128.1182106
충북,제천,중앙선, 280~285 ,부산,280,5,37.31322273,127.9552371
충북,제천,중앙선, 290~295 ,부산,290,4,37.34098704,127.9125914
광주전남,천안/순천,호남선, 20~25 ,순천,20,6,35.05398465,127.2799286
전북,논산,호남지선, 20~25 ,회덕,20,3,36.18836583,127.2525843
대전충남,대전,호남지선, 40~45 ,논산,40,3,36.34065836,127.3188678
대전충남,대전,호남지선, 45~50 ,회덕,45,5,36.38288104,127.3364895
대전충남,대전,호남지선, 50~55 ,회덕,50,3,36.40946543,127.378325
대전충남,당진,서산영덕선(대전당진), 5~10 ,대전,5,3,36.42787173,127.2883162
대전충남,당진/공주,서산영덕선(대전당진), 10~15 ,대전,10,4,36.60929952,126.8554028
대전충남,공주,서산영덕선(대전당진), 35~40 ,대전,35,3,36.78257842,126.6897475
대전충남,공주,서산영덕선(대전당진), 85~90 ,대전,85,3,36.81626191,126.6534305
대전충남,당진/공주,서산영덕선(대전당진), 10~15 ,당진,10,3,36.49757054,127.1654894
대전충남,공주,서산영덕선(대전당진), 70~75 ,당진,70,3,36.54586029,127.479322
충북,보은,서산영덕선(청주상주), 5~10 ,영덕,5,3,36.78257842,126.6897475
충북,진천,중부선, 245~250 ,하남,245,4,36.57914957,127.4275038
충북,진천,중부선, 250~255 ,하남,250,7,36.62226637,127.4202485
충북,진천,중부선, 255~260 ,남이,255,4,36.666547,127.4240858
충북,진천,중부선, 260~265 ,남이,260,5,36.70880232,127.4375391
충북,진천,중부선, 260~265 ,하남,260,3,36.70880232,127.4375391
충북,진천,중부선, 265~270 ,하남,265,5,36.74561896,127.4691292
충북,진천,중부선, 270~275 ,하남,270,3,36.77827315,127.5066813
충북,진천,중부선, 275~280 ,남이,275,3,36.81738099,127.4910263
충북,진천,중부선, 285~290 ,하남,285,3,36.90295423,127.4761971
충북,진천,중부선, 290~295 ,남이,290,3,36.9476101,127.4714058
충북,진천,중부선, 290~295 ,하남,290,3,36.9476101,127.4714058
충북,진천,중부선, 295~300 ,남이,295,3,36.99133404,127.474735
충북,진천,중부선, 295~300 ,하남,295,7,36.99133404,127.474735
충북,진천,중부선, 300~305 ,하남,300,4,37.03540103,127.4801145
충북/서울경기,진천/경기광주,중부선, 320~325 ,남이,320,3,37.20776468,127.4422137
서울경기,경기광주,중부선, 355~360 ,남이,355,3,37.46676466,127.2495111
서울경기,경기광주,중부선, 355~360 ,하남,355,3,37.46676466,127.2495111
